Trade_ID,Trade_Date,Country,Service_Type,Match_Status,Match_Time,CTM_Allocated,Trader_Name,Counterparty
T1082,2022-07-03,France,"Computer, communications and other services (% of commercial service exports)",Matched,15:04,Yes,Sarah,Goldman Sachs
T1083,2022-07-08,Not classified,"Computer, communications and other services (% of commercial service imports)",Matched,16:51,Yes,Ali,Morgan Stanley
T1084,2022-07-12,Africa Western and Central,"Computer, communications and other services (% of commercial service exports)",Matched Late,11:08,No,Ali,JPMorgan
T1085,2022-07-24,Papua New Guinea,"Computer, communications and other services (% of commercial service exports)",Unmatched,14:25,No,Aizzat,HSBC
T1086,2022-07-25,Bangladesh,"Computer, communications and other services (% of commercial service imports)",Matched,15:59,No,Nurul,HSBC
T1087,2022-07-18,Latvia,"Computer, communications and other services (% of commercial service imports)",Matched,13:13,Yes,Amir,HSBC
T1088,2022-07-31,United States,"Computer, communications and other services (% of commercial service exports)",Matched Late,12:47,No,Sarah,Citi
T1089,2022-07-08,World,"Computer, communications and other services (% of commercial service exports)",Matched,8:05,No,Sarah,HSBC
T1090,2022-07-17,Tajikistan,"Computer, communications and other services (% of commercial service imports)",Matched Late,14:16,No,Sarah,HSBC
T1091,2022-07-27,Guam,"Computer, communications and other services (% of commercial service exports)",Matched,17:35,No,Amir,HSBC
T1092,2022-07-06,Czechia,"Computer, communications and other services (% of commercial service imports)",Matched Late,14:54,Yes,Ali,Morgan Stanley
T1093,2022-07-22,Hungary,"Computer, communications and other services (% of commercial service imports)",Matched Late,15:04,Yes,Aizzat,Citi
T1094,2022-07-17,Panama,"Computer, communications and other services (% of commercial service exports)",Matched,13:01,No,Nurul,Goldman Sachs
T1095,2022-07-17,South Sudan,"Computer, communications and other services (% of commercial service exports)",Matched,14:55,Yes,Ali,Citi
T1096,2022-07-30,Mongolia,"Computer, communications and other services (% of commercial service exports)",Matched,13:31,Yes,Sarah,Goldman Sachs
T1097,2022-07-03,Spain,"Computer, communications and other services (% of commercial service imports)",Unmatched,14:20,No,Ali,Citi
T1098,2022-07-04,Solomon Islands,"Computer, communications and other services (% of commercial service imports)",Matched Late,13:02,Yes,Amir,Morgan Stanley
T1099,2022-07-14,Mexico,"Computer, communications and other services (% of commercial service exports)",Unmatched,12:31,No,Sarah,Citi
